"Gross national income (GNI) per capita (2011 PPP$)"
"HDI Rank (2015)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015",""
"185"," Burkina Faso","856","","909","","886","","889","","871","","899","","977","","1007","","1050","","1079","","1067","","1105","","1122","","1173","","1193","","1256","","1305","","1318","","1352","","1338","","1462","","1425","","1460","","1506","","1499","","1537",""
"184"," Burundi","583","","604","","599","","546","","520","","474","","426","","423","","437","","424","","409","","406","","412","","390","","386","","381","","392","","403","","443","","547","","703","","707","","714","","725","","735","","691",""
"122"," Cabo Verde","1627","","1612","","1742","","1843","","2136","","2375","","2576","","2790","","3064","","3331","","3728","","3737","","3864","","3962","","4307","","4554","","4876","","5581","","5886","","5782","","5709","","5907","","5903","","5889","","5976","","6049",""
"143"," Cambodia","819","","859","","884","","869","","955","","938","","1096","","1140","","1037","","1120","","1174","","1246","","1286","","1376","","1491","","1680","","1843","","2226","","2340","","2300","","2397","","2525","","2647","","2777","","2924","","3095",""
"153"," Cameroon","2744","","2514","","2382","","2233","","2179","","2217","","2141","","2184","","2229","","2259","","2299","","2365","","2390","","2490","","2470","","2439","","2502","","2503","","2537","","2535","","2546","","2585","","2621","","2687","","2810","","2894",""
"10"," Canada","30174","","29250","","29064","","29538","","30491","","31046","","31297","","32396","","33341","","34688","","36408","","36603","","37379","","37757","","38671","","39523","","40306","","40703","","40693","","39043","","39919","","40808","","41068","","41624","","42298","","42582",""
"188"," Central African Republic","961","","952","","916","","886","","899","","928","","836","","870","","887","","931","","924","","919","","897","","825","","827","","837","","861","","878","","888","","889","","911","","905","","916","","572","","568","","587",""
"186"," Chad","968","","982","","976","","902","","942","","927","","913","","1012","","1058","","1076","","1006","","990","","612","","816","","891","","831","","781","","1374","","1313","","1583","","1859","","1814","","1913","","1910","","1968","","1991",""
"38"," Chile","8688","","9246","","10334","","10971","","11285","","12398","","13157","","13854","","14230","","13845","","14171","","14497","","14546","","14448","","14943","","15606","","15684","","16491","","17547","","17308","","18041","","19142","","20306","","20989","","21352","","21665",""
"90"," China","1487","","1607","","1810","","2029","","2276","","2468","","2692","","2927","","3122","","3351","","3615","","3883","","4225","","4663","","5124","","5647","","6363","","7258","","7944","","8561","","9393","","10178","","10981","","11696","","12548","","13345",""
"95"," Colombia","7154","","7209","","7433","","7753","","8221","","8512","","8513","","8659","","8616","","8127","","8170","","8223","","8323","","8507","","8773","","9032","","9490","","10004","","10195","","10267","","10494","","10966","","11369","","11849","","12310","","12762",""
"160"," Comoros","1555","","1534","","1570","","1559","","1429","","1442","","1681","","1948","","1775","","1712","","1431","","1348","","1208","","1074","","1133","","1368","","1437","","1346","","1290","","1409","","1343","","1345","","1352","","1366","","1361","","1335",""
