"Gross national income (GNI) per capita (2011 PPP$)"
"HDI Rank (2015)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015",""
"107"," Moldova (Republic of)","6595","","5430","","3817","","3776","","2592","","2549","","2541","","2575","","2400","","2320","","2364","","2639","","2856","","3217","","3486","","3724","","3917","","3958","","4285","","3867","","4256","","4523","","4626","","5038","","5248","","5026",""
"92"," Mongolia","4667","","4451","","4060","","3758","","3942","","4269","","4331","","4466","","4637","","4714","","4608","","4657","","4878","","5128","","5801","","5944","","6412","","6895","","7359","","7082","","7084","","8169","","9034","","10158","","10494","","10449",""
"48"," Montenegro","13820","","12312","","9396","","5948","","6024","","6882","","8791","","9393","","9855","","9060","","10394","","10406","","10658","","10933","","11329","","11326","","12346","","13567","","14525","","13501","","13684","","14330","","14051","","14577","","14731","","15410",""
"123"," Morocco","3789","","3979","","3838","","3724","","4073","","3776","","4215","","4089","","4355","","4352","","4380","","4655","","4766","","5009","","5217","","5362","","5702","","5851","","6137","","6247","","6406","","6633","","6717","","6980","","6985","","7195",""
"181"," Mozambique","360","","371","","332","","348","","355","","355","","443","","481","","520","","549","","535","","581","","572","","646","","667","","702","","726","","768","","803","","858","","884","","938","","989","","1029","","1066","","1098",""
"145"," Myanmar","745","","728","","790","","827","","879","","928","","976","","1018","","1021","","1119","","1257","","1385","","1535","","1732","","1949","","2196","","2465","","2742","","3003","","3298","","3604","","3780","","4020","","4314","","4660","","4943",""
"125"," Namibia","5788","","6131","","6225","","6005","","5921","","6093","","5998","","6055","","6112","","6011","","6159","","6077","","6342","","6740","","7268","","7178","","7646","","7942","","8039","","7905","","8063","","8393","","8488","","9078","","9473","","9770",""
"0"," Nauru","24550","","19462","","15966","","13169","","12457","","11372","","9927","","9011","","8030","","7396","","7030","","6349","","5775","","6150","","5086","","5434","","3251","","4161","","7946","","6070","","7155","","8052","","9210","","11253","","13398","","12058",""
"144"," Nepal","1168","","1210","","1226","","1240","","1307","","1322","","1350","","1393","","1409","","1461","","1526","","1593","","1562","","1601","","1651","","1698","","1743","","1789","","1878","","1948","","2012","","2053","","2132","","2189","","2288","","2337",""
"7"," Netherlands","32272","","32902","","33119","","33484","","34440","","35547","","36691","","37854","","38831","","41218","","42841","","42552","","42431","","42879","","43751","","43991","","46224","","47572","","46582","","45487","","46219","","47237","","46668","","46264","","45702","","46326",""
"13"," New Zealand","22299","","21174","","21131","","21948","","22830","","23601","","23877","","24502","","24812","","25682","","26309","","27210","","28063","","28855","","29230","","29632","","30059","","30447","","29769","","30317","","30088","","30799","","31607","","31842","","32398","","32870",""
"124"," Nicaragua","2966","","2370","","2221","","2218","","2486","","2682","","2850","","2960","","3085","","3250","","3337","","3366","","3366","","3414","","3566","","3708","","3754","","3935","","4009","","3828","","3913","","4114","","4269","","4419","","4583","","4747",""
"187"," Niger","814","","806","","775","","763","","748","","740","","760","","735","","803","","783","","736","","764","","773","","771","","741","","769","","786","","781","","821","","782","","815","","801","","851","","856","","886","","889",""
"152"," Nigeria","2743","","2667","","2574","","2455","","2486","","2529","","2624","","2646","","2615","","2327","","2378","","2606","","2612","","2791","","3615","","3606","","4194","","4194","","4317","","4451","","4834","","4940","","5035","","5173","","5443","","5443",""
"1"," Norway","42190","","43119","","44893","","45811","","48143","","50103","","52383","","54893","","55983","","56834","","57957","","59648","","60292","","60657","","62457","","64230","","64598","","65554","","64880","","63676","","63597","","63327","","64145","","64135","","66938","","67614",""
"52"," Oman","35405","","35971","","36841","","37898","","37479","","38709","","39113","","41556","","42235","","41718","","43821","","45235","","43257","","41597","","41275","","40689","","39188","","39764","","44932","","45437","","44371","","39892","","38595","","37354","","35236","","34402",""
"147"," Pakistan","3194","","3202","","3315","","3277","","3298","","3393","","3431","","3364","","3362","","3406","","3459","","3450","","3555","","3749","","3907","","4116","","4270","","4380","","4373","","4432","","4460","","4517","","4603","","4704","","4848","","5031",""
"60"," Palau","11660","","12557","","11435","","10134","","9992","","11140","","12054","","12030","","11635","","11231","","12594","","13100","","13604","","13927","","13695","","13572","","14407","","14030","","13712","","12806","","11984","","12358","","12712","","12884","","12708","","13771",""
"114"," Palestine, State of","2893","","2639","","3154","","3328","","3067","","3157","","3209","","3846","","4872","","5601","","4707","","4142","","3917","","4181","","4386","","4829","","4547","","4397","","3916","","4489","","4439","","4668","","5219","","4914","","4816","","5256",""
"60"," Panama","7973","","8649","","9126","","9305","","9302","","9379","","9377","","9835","","10406","","10692","","10707","","10553","","10348","","10911","","11648","","12268","","11633","","13222","","14086","","13817","","13994","","15833","","17155","","17951","","18700","","19470",""
"154"," Papua New Guinea","1538","","1644","","1825","","2104","","2173","","2048","","2149","","2012","","1886","","1871","","1778","","1731","","1685","","1680","","1683","","1747","","1744","","1825","","1900","","1970","","2074","","2245","","2374","","2453","","2607","","2712",""
"110"," Paraguay","5783","","5729","","5623","","5722","","5771","","5967","","6280","","6200","","6053","","5839","","5315","","5207","","5217","","4826","","5053","","5132","","5539","","6096","","6481","","6037","","6781","","7122","","6815","","7758","","8086","","8182",""
"87"," Peru","5165","","5085","","4962","","5077","","5617","","5906","","6049","","6359","","6304","","6308","","6360","","6354","","6583","","6711","","6830","","7078","","7341","","7900","","8624","","8635","","9150","","9566","","10164","","10762","","10956","","11295",""
"116"," Philippines","3962","","3888","","3865","","3875","","3995","","4097","","4272","","4458","","4696","","4720","","4976","","5047","","5147","","5471","","5747","","6036","","6228","","6504","","6744","","7059","","7511","","6893","","7268","","7752","","8057","","8395",""
"36"," Poland","9614","","8915","","9020","","9401","","10199","","10834","","11591","","12438","","13082","","13679","","14455","","14705","","14966","","15390","","15879","","16701","","17674","","18768","","19734","","20040","","20753","","21788","","22161","","22475","","23177","","24117",""
"41"," Portugal","20223","","21198","","21544","","21095","","21181","","22144","","22737","","23467","","24429","","25238","","25656","","25942","","26061","","25848","","26190","","26331","","26252","","26848","","26679","","25900","","26467","","26414","","25322","","25448","","25737","","26104",""
"33"," Qatar","75260","","72623","","80106","","78651","","79274","","80230","","79026","","99776","","106602","","106692","","109653","","107913","","111172","","112766","","116085","","103643","","117192","","115814","","114479","","109218","","116233","","123636","","124506","","126639","","129077"," d","129916"," d"
"50"," Romania","11164","","9846","","9029","","9161","","9546","","10229","","10638","","10148","","9928","","9900","","10201","","10931","","11667","","12247","","13092","","13887","","15019","","16254","","18067","","17126","","17100","","17333","","17511","","18103","","18895","","19428",""
"49"," Russian Federation","20601","","19504","","16528","","15119","","13313","","12715","","12216","","12326","","11455","","12235","","13678","","14634","","15329","","16342","","17731","","18872","","20372","","22309","","23329","","21455","","22424","","23359","","24094","","24258","","24067","","23286",""
"159"," Rwanda","847","","846","","944","","922","","484","","669","","721","","770","","773","","776","","792","","826","","916","","910","","957","","1008","","1076","","1133","","1221","","1262","","1318","","1385","","1463","","1488","","1553","","1617",""
"74"," Saint Kitts and Nevis","14117","","13586","","13855","","14640","","15239","","16090","","16624","","17460","","16880","","17175","","17822","","18368","","18339","","17300","","18151","","19817","","21004","","21448","","22031","","20517","","19733","","19851","","19537","","20506","","21691","","22436",""
"92"," Saint Lucia","8484","","8373","","8963","","8784","","8867","","8795","","9297","","9110","","9601","","9848","","9721","","9016","","9208","","9382","","9788","","9600","","10406","","10449","","10752","","10899","","10416","","10376","","9824","","9708","","9693","","9791",""
"99"," Saint Vincent and the Grenadines","5315","","5381","","5829","","6076","","5917","","6392","","6555","","6705","","6990","","7069","","7190","","7384","","7841","","8329","","8593","","8819","","9597","","9512","","10151","","10070","","9737","","9683","","9953","","10177","","10234","","10372",""
"104"," Samoa","3517","","3410","","3373","","3477","","3357","","3552","","3782","","3786","","3851","","3918","","4169","","4434","","4599","","4778","","4967","","5141","","5209","","5503","","5522","","5221","","5209","","5468","","5448","","5300","","5323","","5372",""
"0"," San Marino","47912","","47971","","47649","","51023","","53777","","57965","","60025","","62320","","65375","","68651","","68529","","70818","","71633","","74179","","75951","","75845","","78431","","80949","","79894","","67401","","65480","","58775","","49566","","50815","","49783","","50063",""
"142"," Sao Tome and Principe","1973","","1911","","1884","","1855","","1869","","1848","","1877","","1851","","1840","","1902","","2076","","2099","","2103","","2191","","2223","","2328","","2485","","2510","","2656","","2704","","2764","","2835","","2901","","2958","","3025","","3070",""
"38"," Saudi Arabia","45280","","49651","","49568","","47077","","45262","","44584","","44447","","43912","","44178","","41412","","41931","","40048","","38153","","41049","","43168","","44375","","44486","","44382","","46096","","44157","","44764","","48161","","49563","","49843","","50641","","51320",""
"162"," Senegal","1787","","1721","","1719","","1639","","1600","","1831","","1898","","1841","","1963","","1984","","1899","","1983","","1950","","1979","","2044","","2091","","2036","","2104","","2144","","2124","","2164","","2134","","2158","","2142","","2187","","2250",""
"66"," Serbia","14465","","13287","","9620","","6626","","6791","","7172","","7352","","7904","","8096","","7116","","7741","","8145","","8136","","8369","","9410","","10048","","10513","","11438","","12156","","11991","","12026","","12287","","12073","","12353","","12190","","12202",""
"63"," Seychelles","13137","","13355","","14132","","14790","","14431","","14049","","14526","","16073","","17087","","17068","","17172","","16768","","16465","","15664","","15273","","16568","","17762","","19513","","18672","","18393","","18952","","20991","","22160","","23083","","23458","","23886",""
"179"," Sierra Leone","1402","","1430","","1163","","1190","","1177","","1089","","1109","","1041","","1050","","1011","","1049","","937","","1129","","1175","","1193","","1196","","1221","","1283","","1320","","1351","","1391","","1445","","1626","","1916","","1960","","1529",""
"5"," Singapore","34317","","35442","","37436","","39631","","43668","","45751","","47306","","51413","","48928","","50556","","52784","","50694","","50478","","50897","","52211","","54872","","60099","","64201","","62881","","60969","","71539","","73524","","73362","","75608","","77538"," d","78162"," d"
"40"," Slovakia","14319","","12143","","11302","","11420","","12100","","12936","","13826","","14548","","15112","","14983","","15170","","15758","","16405","","16497","","17550","","18904","","20451","","22658","","24191","","23115","","24494","","24308","","25081","","25599","","25899","","26764",""
"25"," Slovenia","18775","","17095","","16172","","16660","","17586","","18422","","19056","","19969","","20595","","21690","","22540","","23239","","23940","","24561","","25512","","26578","","27868","","29309","","29974","","27744","","28094","","28298","","27473","","27219","","28089","","28664",""
"156"," Solomon Islands","1360","","1401","","1535","","1552","","1647","","1733","","1712","","1641","","1625","","1573","","1313","","1176","","1113","","1155","","1181","","1215","","1269","","1330","","1392","","1297","","1357","","1499","","1536","","1550","","1542","","1561",""
"0"," Somalia","428","","436","","385","","386","","303","","299","","306","","289","","286","","285","","284","","284","","286","","288","","289","","290","","290","","290","","290","","290","","291","","292","","292","","293","","294","","294",""
"119"," South Africa","9987","","9796","","9428","","9372","","9490","","9566","","9732","","9760","","9565","","9558","","9719","","9710","","10009","","10150","","10548","","10953","","11408","","11692","","11910","","11652","","11838","","11978","","12037","","12126","","12113","","12087",""
"181"," South Sudan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2803","","3281","","2958","","2227","","2058","","2145","","2046","","1882",""
"27"," Spain","23944","","24508","","24622","","24427","","24490","","25559","","26099","","27006","","28051","","29164","","30513","","31137","","31492","","32009","","32422","","32890","","33588","","33977","","33727","","32506","","32507","","31966","","31432","","31081","","31605","","32779",""
"73"," Sri Lanka","3639","","3754","","3892","","4122","","4283","","4460","","4576","","4857","","5051","","5214","","5481","","5361","","5540","","5859","","6128","","6448","","6881","","7314","","7598","","7894","","8469","","9122","","9804","","9999","","10396","","10789",""
"165"," Sudan","1602","","1570","","1665","","1714","","1728","","1792","","1895","","2055","","2078","","2068","","2084","","2143","","2232","","2297","","2310","","2436","","2651","","2847","","2989","","2998","","2994","","3336","","3675","","3701","","3756","","3846",""
"97"," Suriname","10133","","10486","","9829","","8290","","9488","","9284","","9375","","9527","","9743","","9336","","9401","","8937","","10068","","10680","","11507","","12074","","12636","","13416","","13908","","14099","","14279","","14224","","14867","","15420","","15786","","16018",""
"148"," Swaziland","6647","","6622","","6698","","6590","","6324","","6889","","7208","","7278","","7006","","7212","","7004","","7406","","6955","","6879","","7221","","7865","","7513","","7733","","7663","","7454","","7150","","7228","","7330","","7432","","7503","","7522",""
"14"," Sweden","30167","","29306","","28229","","27248","","28858","","29906","","30375","","31265","","32943","","35135","","36826","","37309","","38030","","39363","","40443","","41745","","43891","","45578","","45189","","41877","","44161","","45016","","44671","","44735","","44802","","46251",""
"2"," Switzerland","47638","","46662","","46006","","45740","","45611","","45899","","46086","","47817","","49276","","50217","","52331","","51437","","50557","","52159","","53071","","55434","","56794","","54886","","51537","","54273","","57464","","55079","","55786","","55931","","55745","","56364",""
"149"," Syrian Arab Republic","3431","","3588","","3975","","4076","","4429","","4612","","4821","","5036","","5122","","4828","","4680","","4785","","5066","","5029","","5286","","5427","","5617","","5786","","5819","","6039","","6174","","5854","","4668","","3632","","2905","","2441"," e"
"129"," Tajikistan","3630","","3297","","2296","","1867","","1427","","1211","","970","","1024","","1061","","1081","","1134","","1227","","1335","","1439","","1586","","1663","","1748","","1866","","1990","","2012","","2096","","2216","","2328","","2446","","2552","","2601",""
"151"," Tanzania (United Republic of)","1417","","1406","","1366","","1341","","1323","","1341","","1381","","1386","","1409","","1443","","1471","","1491","","1590","","1640","","1717","","1798","","1863","","1936","","1984","","2028","","2089","","2190","","2215","","2314","","2395","","2467",""
"87"," Thailand","6565","","7031","","7469","","8064","","8626","","9222","","9583","","9171","","8293","","8656","","9042","","9172","","9554","","10069","","10574","","10927","","11512","","12143","","12362","","12223","","12976","","13354","","13993","","14095","","14169","","14519",""
"82"," The former Yugoslav Republic of Macedonia","9510","","9008","","8256","","7765","","7722","","7680","","7731","","7778","","7978","","8220","","8549","","8339","","8400","","8558","","8992","","9289","","9879","","10048","","10965","","10958","","11230","","11433","","11317","","11603","","12052","","12405",""
"133"," Timor-Leste","2253","","2418","","2605","","2802","","2910","","3065","","3524","","3894","","3885","","1972","","2274","","2327","","2506","","2019","","1956","","2321","","3413","","4680","","7068","","5461","","6065","","7562","","7628","","6399","","5292","","5371"," e"
"166"," Togo","1285","","1244","","1169","","966","","1052","","1127","","1213","","1353","","1293","","1277","","1238","","1185","","1152","","1178","","1168","","1153","","1167","","1167","","1059","","1064","","1065","","1068","","1115","","1160","","1231","","1262",""
"101"," Tonga","3681","","3911","","3916","","4058","","4252","","4400","","4388","","4366","","4466","","4617","","4748","","4893","","5031","","5108","","5115","","5163","","5075","","4812","","4899","","4924","","5103","","5184","","5193","","5037","","5123","","5284",""
"65"," Trinidad and Tobago","10854","","10915","","10692","","10734","","10979","","11402","","12050","","13413","","14651","","15759","","16567","","17638","","19108","","21365","","23710","","24440","","27268","","28965","","29958","","28506","","28336","","26017","","25789","","27702","","27760","","28049",""
"97"," Tunisia","5503","","5551","","5838","","5811","","5886","","5967","","6261","","6580","","6836","","7159","","7386","","7611","","7635","","7944","","8344","","8455","","8857","","9288","","9535","","9830","","10078","","9723","","10034","","10141","","10270","","10249",""
"71"," Turkey","10494","","10383","","10742","","11395","","10587","","11317","","11998","","12707","","12834","","12190","","12815","","11781","","12401","","12884","","13953","","14976","","15811","","16381","","16285","","15267","","16482","","17630","","17703","","18074","","18312","","18705",""
"111"," Turkmenistan","7545","","6999","","5783","","5708","","4601","","4176","","4372","","3813","","4028","","4636","","4833","","4987","","4947","","5057","","5254","","5876","","6447","","7077","","8019","","8403","","9061","","10262","","11255","","12244","","13334","","14026",""
"0"," Tuvalu","3480","","3585","","3666","","3798","","4170","","3945","","3695","","4049","","4659","","4567","","4501","","4549","","4878","","4685","","4595","","4400","","4476","","4745","","5111","","4875","","4732","","5124","","5124","","5182","","5276","","5395",""
"163"," Uganda","759","","776","","767","","817","","842","","914","","970","","995","","1014","","1062","","1045","","1050","","1116","","1150","","1180","","1211","","1303","","1373","","1446","","1501","","1527","","1622","","1632","","1642","","1650","","1670",""
"84"," Ukraine","10815","","9850","","8646","","7239","","5707","","4999","","4554","","4458","","4376","","4374","","4664","","5221","","5567","","6160","","6951","","7197","","7735","","8399","","8697","","7351","","7738","","8089","","8181","","8199","","8151","","7361",""
"42"," United Arab Emirates","104615","","98608","","95723","","95590","","100383","","105331","","105661","","107866","","104035","","102565","","108791","","107505","","100813","","101875","","102257","","96124","","92059","","82654","","72878","","61790","","57387","","57612","","60114","","62132","","64661","","66203",""
"16"," United Kingdom","26581","","26169","","26229","","26851","","27878","","28493","","29182","","30017","","30972","","31789","","33132","","34033","","34952","","35971","","36707","","37763","","38001","","38654","","37884","","36027","","36635","","37053","","36791","","36947","","37393","","37931",""
"10"," United States","37369","","36821","","37592","","38114","","39116","","39723","","40761","","42033","","43361","","44910","","46267","","46318","","46690","","47656","","49074","","50240","","50973","","51583","","51095","","49190","","50177","","50696","","51371","","51771","","52548","","53245",""
"54"," Uruguay","9492","","9893","","10660","","10882","","11561","","11342","","11912","","12922","","13413","","13172","","12859","","12338","","11486","","11033","","11565","","12624","","13209","","14037","","14872","","15395","","16447","","17296","","17925","","18638","","19117","","19148",""
"105"," Uzbekistan","3002","","2922","","2541","","2437","","2267","","2208","","2197","","2253","","2324","","2391","","2432","","2498","","2574","","2659","","2853","","3025","","3184","","3627","","3964","","4077","","4309","","4586","","4838","","5213","","5511","","5748",""
"134"," Vanuatu","2596","","2459","","2295","","2292","","2268","","2366","","2411","","2440","","2496","","2593","","2595","","2559","","2378","","2385","","2409","","2442","","2634","","2684","","2945","","2874","","2837","","2829","","2714","","2872","","2892","","2805",""
"71"," Venezuela (Bolivarian Republic of)","14360","","15483","","15794","","15508","","14760","","15131","","14786","","15314","","15117","","14102","","14373","","14525","","12804","","11613","","13384","","14803","","16194","","17743","","18132","","17019","","16355","","16619","","17223","","17152","","16260","","15129",""
"115"," Viet Nam","1410","","1483","","1613","","1707","","1848","","2020","","2164","","2298","","2393","","2481","","2615","","2744","","2878","","3042","","3227","","3423","","3609","","3801","","3965","","4079","","4314","","4513","","4707","","4899","","5098","","5335",""
"168"," Yemen","3149","","3184","","3270","","3230","","3286","","3328","","3357","","3421","","3524","","3556","","3672","","3705","","3744","","3775","","3815","","3916","","3927","","3945","","3989","","4040","","4061","","3357","","3350","","3400","","3295","","2300",""
"139"," Zambia","2136","","1976","","1924","","2052","","1854","","1862","","1939","","1957","","1887","","1953","","1986","","2045","","2093","","2197","","2209","","2278","","2350","","2425","","2629","","2942","","3020","","3178","","3412","","3426","","3460","","3464",""
"154"," Zimbabwe","2438","","2493","","2203","","2190","","2333","","2288","","2501","","2503","","2505","","2480","","2375","","2404","","2189","","1814","","1681","","1574","","1490","","1401","","1107","","1224","","1302","","1398","","1513","","1546","","1565","","1588",""
